name_gene_X chr_X start_X stop_X strand_X name_gene_Y chr_Y start_Y stop_Y strand_Y name_gene_conica chr_conica start_conica stop_conica strand_conica name_gene_vulgaris chr_vulgaris start_vulgaris stop_vulgaris strand_vulgaris gene_number synteny_Y synteny_con synteny_vulg strata
_chr12_000300.1 chrX 8182292 8190599 + _scaffold_1_003574.1 chrY 313049144 313057812 + Chr05-anno2.g68130.t1 Chr05 14339238 14345920 + Silene_vulgaris_scaffold_1_003418.1 scaffold_1 3690634 3697987 - 110 40 25 3 S3
_chr12_004863.1 chrX 8190709 8194388 - _scaffold_1_000600.1 chrY 313057919 313061378 - FUN_024448-T1 scaffold_4 76994081 76994854 + FUN_000364-T1 scaffold_1 3687492 3690104 + 111 40 1 3 S3
_chr12_000301.1 chrX 8197574 8207945 + _scaffold_1_003575.1 chrY 313074082 313081513 + Sconica_v3_25627-RA Chr05 14354131 14360625 + Silene_vulgaris_scaffold_1_003420.1 scaffold_1 3668705 3675958 - 112 40 10 3 S3
_chr12_004861.1 chrX 8256171 8261222 - _scaffold_1_000598.1 chrY 313498974 313505303 - Sconica_v3_25633-RA Chr05 14416392 14422351 - Silene_vulgaris_scaffold_3_000105.1 scaffold_3 4107165 4113446 + 113 40 10 1 S3
_chr12_004860.1 chrX 8263839 8273152 - _scaffold_1_000597.1 chrY 313508387 313518277 - Chr05-anno1.g7715.t1 Chr05 14423712 14431118 - Silene_vulgaris_scaffold_1_000164.1 scaffold_1 3636130 3645742 + 114 40 10 15 S3
_chr12_004859.1 chrX 8387230 8388987 - _scaffold_1_000596.1 chrY 313582399 313584224 - Chr05-anno1.g7719.t1 Chr05 14456802 14457875 - Silene_vulgaris_scaffold_1_000162.1 scaffold_1 3606952 3608528 + 115 40 10 15 S3
_chr12_004858.1 chrX 8389776 8392436 - _scaffold_1_000595.1 chrY 313584981 313588951 - Chr05-anno1.g7720.t1 Chr05 14459292 14461382 - Silene_vulgaris_scaffold_1_000161.1 scaffold_1 3603214 3605590 + 116 40 10 15 S3
_chr12_004856.1 chrX 8437842 8446326 - _scaffold_1_000593.1 chrY 313631747 313639162 - Chr05-long_reads1.PB.2414.2 Chr05 14516435 14522217 - Silene_vulgaris_scaffold_1_000159.1 scaffold_1 3553786 3560963 + 117 40 10 15 S3
_chr12_004855.1 chrX 8450835 8455578 - _scaffold_1_000592.1 chrY 313676120 313680551 - Sconica_v3_25647-RA Chr05 14527152 14531908 - Silene_vulgaris_scaffold_1_000158.1 scaffold_1 3545764 3549551 + 118 40 10 15 S3
_chr12_000305.1 chrX 8460805 8462040 + _scaffold_1_003590.1 chrY 313683345 313684354 + Sconica_v3_25648-RA Chr05 14534464 14536039 + FUN_000347-T1 scaffold_1 3535579 3536829 - 119 40 10 15 S3
_chr12_004854.1 chrX 8462228 8466198 - _scaffold_1_000591.1 chrY 313684530 313687660 - Sconica_v3_25649-RA Chr05 14536125 14539080 - Silene_vulgaris_scaffold_1_000155.1 scaffold_1 3532197 3535305 + 120 40 10 15 S3
_chr12_000306.1 chrX 8467166 8469975 + _scaffold_1_003596.1 chrY 313706553 313709447 + Sconica_v3_25650-RA Chr05 14540272 14542885 + Silene_vulgaris_scaffold_1_003427.1 scaffold_1 3524829 3527220 - 121 40 10 15 S3
_chr12_000321.1 chrX 9027383 9034148 + _scaffold_1_003605.1 chrY 314513084 314517155 + NA 0 0 0 0 Silene_vulgaris_scaffold_1_003428.1 scaffold_1 3513613 3517330 - 122 40 1 15 S3
_chr12_000333.1 chrX 9921487 9929405 + _scaffold_1_003606.1 chrY 314564423 314593150 + FUN_024476-T1 scaffold_4 77353033 77363129 + Silene_vulgaris_scaffold_1_003430.1 scaffold_1 3456861 3464626 - 123 40 1 15 S3
_chr12_000334.1 chrX 9932286 9935357 + _scaffold_1_003607.1 chrY 314598117 314599512 + FUN_024477-T1 Chr05 14633707 14635010 + Silene_vulgaris_scaffold_1_003431.1 scaffold_1 3450211 3454198 - 124 40 8 15 S3
_chr12_004830.1 chrX 9962654 9963984 - _scaffold_1_002941.1 chrY 435182885 435184282 - Chr05-anno1.g7748.t1 Chr05 14699629 14701745 - Silene_vulgaris_scaffold_1_000148.1 scaffold_1 3433305 3434515 + 125 3 8 15 S3
_chr12_000339.1 chrX 10069580 10076129 + _scaffold_1_001242.1 chrY 436147584 436154186 + Sconica_v3_25683-RA Chr05 14755583 14761786 + Silene_vulgaris_scaffold_1_003435.1 scaffold_1 3291313 3296993 - 126 3 8 15 S3
_chr12_004825.1 chrX 10077888 10082737 - _scaffold_1_002929.1 chrY 436209350 436213977 - Chr05-long_reads1.PB.2419.1 Chr05 14762500 14766857 - Silene_vulgaris_scaffold_1_000143.1 scaffold_1 3284734 3289416 + 127 3 8 15 S3
_chr12_004824.1 chrX 10109518 10111065 - _scaffold_1_000089.1 chrY 405919054 405919823 - Chr05-anno1.g7756.t1 Chr05 14813060 14814361 - Silene_vulgaris_scaffold_1_000142.1 scaffold_1 3264339 3265684 + 128 1 8 15 S1b
_chr12_000342.1 chrX 10266554 10274649 + _scaffold_13_000013.1 chrY 202553319 202570042 - Sconica_v3_25697-RA Chr05 14849778 14857267 + Silene_vulgaris_scaffold_1_000140.1 scaffold_1 3210610 3218208 + 129 1 8 3 S1b
_chr12_004818.1 chrX 10283222 10284223 - _scaffold_13_000015.1 chrY 202187078 202189179 - Chr05-anno1.g7770.t1 Chr05 14906811 14907635 - FUN_000313-T1 scaffold_1 3226509 3229098 - 130 2 8 3 S1b
_chr12_004817.1 chrX 10285779 10290167 - _scaffold_13_000014.1 chrY 202210301 202213354 - Sconica_v3_25706-RA Chr05 14909365 14913040 - Silene_vulgaris_scaffold_1_003437.1 scaffold_1 3230121 3234578 - 131 2 8 3 S1b
_chr12_000349.1 chrX 10439884 10441847 + _scaffold_1_001015.1 chrY 37221779 37224436 + FUN_024520-T1 scaffold_4 77769020 77777171 - FUN_000292-T1 scaffold_1 3050982 3059241 - 132 1 1 22 S1b
_chr12_000353.1 chrX 10602363 10610104 + _scaffold_1_003844.1 chrY 363642155 363651401 + Chr05-anno1.g6386.t1 Chr05 1685412 1691327 - Silene_vulgaris_scaffold_1_003455.1 scaffold_1 2840173 2846958 - 133 1 10 22 S1b
_chr12_004806.1 chrX 10715655 10724656 - _scaffold_1_002873.1 chrY 444507627 444517405 - Chr05-anno1.g6382.t1 Chr05 1632265 1640455 + Silene_vulgaris_scaffold_1_000127.1 scaffold_1 2784297 2791687 + 134 4 10 22 S1b
_chr12_000361.1 chrX 10833582 10839855 + _scaffold_1_002883.1 chrY 443020285 443022804 - Sconica_v3_24042-RA Chr05 1586539 1588719 - FUN_000269-T1 scaffold_1 2777039 2778319 - 135 4 10 22 S1b
_chr12_000362.1 chrX 10840132 10841566 + _scaffold_1_002884.1 chrY 443000159 443001800 - FUN_023153-T1 Chr05 1584631 1586456 - Silene_vulgaris_scaffold_1_003460.1 scaffold_1 2775064 2776503 - 136 4 10 22 S1b
_chr12_000363.1 chrX 10848198 10851366 + _scaffold_1_002885.1 chrY 442898389 442901447 - Chr05-anno1.g6367.t1 Chr05 1577492 1580600 - Silene_vulgaris_scaffold_1_003461.1 scaffold_1 2769408 2772259 - 137 4 10 22 S1b
_chr12_004801.1 chrX 10887135 10892877 - _scaffold_1_000511.1 chrY 330014704 330034720 - Chr05-anno1.g6352.t1 Chr05 1458932 1463786 + Silene_vulgaris_scaffold_1_000122.1 scaffold_1 2720463 2731156 + 138 2 10 22 S1b
_chr12_004800.1 chrX 10893749 10898952 - _scaffold_1_000508.1 chrY 330154069 330156205 - Sconica_v3_24023-RA Chr05 1452964 1457788 + Silene_vulgaris_scaffold_1_000121.1 scaffold_1 2714637 2719797 + 139 2 10 22 S1b
_chr12_000371.1 chrX 11080053 11080745 + _scaffold_1_001941.1 chrY 165736878 165737715 + Chr05-anno2.g66640.t1 Chr05 1373372 1373962 - FUN_000259-T1 scaffold_1 2707569 2708162 - 140 2 10 22 S1b
_chr12_004796.1 chrX 11091462 11092577 - _scaffold_1_002188.1 chrY 165845064 165846779 - Chr05-anno1.g6337.t1 Chr05 1358213 1358977 + Silene_vulgaris_scaffold_1_000114.1 scaffold_1 2660898 2662100 + 141 2 10 22 S1b
_chr12_004795.1 chrX 11146029 11152810 - _scaffold_1_004014.1 chrY 394083940 394099513 + Sconica_v3_24012-RA Chr05 1349196 1357127 + Silene_vulgaris_scaffold_1_000113.1 scaffold_1 2648267 2655303 + 142 2 10 22 S1b
_chr12_000379.1 chrX 11238456 11239887 + _scaffold_1_000153.1 chrY 393180535 393182355 - NA 0 0 0 0 Silene_vulgaris_scaffold_1_003468.1 scaffold_1 2637706 2639164 - 143 2 1 22 S1b
_chr12_000380.1 chrX 11359036 11363557 + _scaffold_1_000414.1 chrY 345777085 345787429 - FUN_023121-T1 Chr05 1283229 1288589 - Silene_vulgaris_scaffold_1_003469.1 scaffold_1 2581797 2586711 - 144 1 4 22 S1b
_chr12_000381.1 chrX 11479377 11484761 + _scaffold_1_003902.1 chrY 378166156 378170699 + Chr05-anno1.g6326.t1 Chr05 1236711 1240780 - Silene_vulgaris_scaffold_1_003470.1 scaffold_1 2503521 2508557 - 145 1 4 22 S1b
_chr12_000390.1 chrX 11734229 11736401 + _scaffold_1_003771.1 chrY 348655684 348657844 + FUN_023099-T1 Chr05 1112519 1114843 - Silene_vulgaris_scaffold_1_003476.1 scaffold_1 2348890 2350862 - 146 3 4 22 S1b
_chr12_004775.1 chrX 11735652 11745254 - _scaffold_1_000411.1 chrY 348657082 348667466 - Sconica_v3_23979-RA Chr05 1104593 1112193 + Silene_vulgaris_scaffold_1_000098.1 scaffold_1 2340457 2349105 + 147 3 4 22 S1b
_chr12_004773.1 chrX 11759870 11762402 - _scaffold_1_000407.1 chrY 348764544 348766117 - NA 0 0 0 0 Silene_vulgaris_scaffold_1_000096.1 scaffold_1 2331536 2334075 + 148 3 1 22 S1b
_chr12_000392.1 chrX 11809185 11813743 + _scaffold_12_000515.1 chrY 241021341 241025276 - Sconica_v3_23974-RA Chr05 1080573 1084397 - Silene_vulgaris_scaffold_1_003479.1 scaffold_1 2306075 2309890 - 149 1 3 22 S1b
_chr12_000398.1 chrX 11888436 11893100 + _scaffold_1_002766.1 chrY 461807098 461812731 - Chr05-anno1.g6302.t1 Chr05 1041777 1047995 - FUN_000209-T1 scaffold_1 2161401 2166357 - 150 1 3 22 S1b
_chr12_004768.1 chrX 11917742 11922180 - _scaffold_12_000509.1 chrY 241892564 241896982 - Chr05-anno1.g6300.t1 Chr05 1026360 1031303 + Silene_vulgaris_scaffold_1_000093.1 scaffold_1 2144258 2148763 + 151 1 3 22 S1b
_chr12_000403.1 chrX 12000088 12005942 + _scaffold_1_002395.1 chrY 129882018 129887894 - FUN_023085-T1 scaffold_4 58377979 58378325 + Silene_vulgaris_scaffold_1_003489.1 scaffold_1 1855148 1861000 - 152 1 1 22 S1b
_chr12_004765.1 chrX 12025543 12031455 - _scaffold_1_002686.1 chrY 70521051 70526822 - Sconica_v3_23956-RA Chr05 964641 970457 + Silene_vulgaris_scaffold_1_000089.1 scaffold_1 1838110 1844247 + 153 1 1 22 S1b
_chr12_004757.1 chrX 12240114 12242872 - _scaffold_12_000061.1 chrY 249100447 249103206 + Sconica_v3_10371-RA Chr02 82002297 82003551 + Silene_vulgaris_scaffold_3_001092.1 scaffold_3 29682397 29684057 + 154 1 1 1 S1b
_chr12_004747.1 chrX 12862815 12865063 - _scaffold_1_001727.1 chrY 130739021 130741161 + NA 0 0 0 0 Silene_vulgaris_scaffold_1_000063.1 scaffold_1 1640784 1643019 + 155 1 1 21 S1b
_chr12_000417.1 chrX 12953191 12955784 + _scaffold_1_002165.1 chrY 168870012 168887507 - Chr05-anno1.g6262.t1 Chr05 733480 735471 - Silene_vulgaris_scaffold_1_003503.1 scaffold_1 1586865 1589534 - 156 1 4 21 S1b
_chr12_000420.1 chrX 13080226 13084319 + _scaffold_1_001726.1 chrY 130568025 130569082 + Sconica_v3_23912-RA Chr05 716623 723601 - Silene_vulgaris_scaffold_1_003504.1 scaffold_1 1556086 1560369 - 157 1 4 21 S1b
_chr12_004744.1 chrX 13096419 13098620 - _scaffold_1_000137.1 chrY 395193613 395201685 - Sconica_v3_23910-RA Chr05 658866 660989 + Silene_vulgaris_scaffold_1_000058.1 scaffold_1 1527820 1529995 + 158 1 4 21 S1b
_chr12_000426.1 chrX 13336931 13343544 + _scaffold_1_003653.1 chrY 325002372 325014189 + Sconica_v3_23899-RA Chr05 605553 613462 - Silene_vulgaris_scaffold_1_003508.1 scaffold_1 1434379 1441420 - 159 1 4 21 S1b
_chr12_004726.1 chrX 13880063 13883532 - _scaffold_1_001700.1 chrY 126441726 126445179 + Chr05-anno2.g66534.t1 Chr05 472604 475068 - FUN_000117-T1 scaffold_1 1096779 1100073 + 160 1 2 21 S1b
_chr12_000444.1 chrX 13988084 13992197 + _scaffold_1_001307.1 chrY 450178377 450183491 + Sconica_v3_23885-RA Chr05 546216 551619 + Silene_vulgaris_scaffold_1_003527.1 scaffold_1 989572 994659 - 161 1 2 21 S1b
_chr12_004719.1 chrX 14182971 14186443 - _scaffold_1_003968.1 chrY 389065721 389069290 + Sconica_v3_23853-RA Chr05 343331 346026 + Silene_vulgaris_scaffold_1_000030.1 scaffold_1 866878 871064 + 162 1 8 21 S1b
_chr12_004713.1 chrX 14401184 14406620 - _scaffold_1_001473.1 chrY 68930168 68931391 + Sconica_v3_23845-RA Chr05 305665 310665 + FUN_000073-T1 scaffold_1 723643 728616 + 163 1 8 21 S1b
_chr12_004711.1 chrX 14526678 14529612 - _scaffold_1_003637.1 chrY 321290067 321308303 + Chr05-anno1.g6193.t1 Chr05 264310 266332 + Silene_vulgaris_scaffold_1_000016.1 scaffold_1 643314 650886 + 164 1 8 21 S1b
_chr12_000471.1 chrX 14856095 14866248 + _scaffold_13_000347.1 chrY 183799509 183809323 + Chr05-long_reads1.PB.2208.3 Chr05 193075 204059 - Silene_vulgaris_scaffold_1_003556.1 scaffold_1 485187 494003 - 165 2 8 21 S1b
_chr12_004706.1 chrX 14901864 14903023 - _scaffold_13_000095.1 chrY 184055831 184056983 - Chr05-anno1.g6179.t1 Chr05 111436 113486 + Silene_vulgaris_scaffold_1_000011.1 scaffold_1 464383 465999 + 166 2 8 21 S1b
_chr12_004705.1 chrX 15052496 15055395 - _scaffold_1_001860.1 chrY 151358819 151361721 + Chr05-anno1.g6178.t1 Chr05 106618 109451 + Silene_vulgaris_scaffold_1_000010.1 scaffold_1 458643 461614 + 167 6 8 21 S1b
_chr12_000476.1 chrX 15074962 15080069 + _scaffold_1_002260.1 chrY 151350799 151357045 - Chr05-long_reads1.PB.2207.2 Chr05 77569 81627 + FUN_000036-T1 scaffold_1 429618 434099 - 168 6 8 21 S1b
_chr12_004703.1 chrX 15109439 15112229 - _scaffold_1_001855.1 chrY 150811740 150814524 + Chr05-anno2.g66472.t1 Chr05 73982 76517 + Silene_vulgaris_scaffold_1_000008.1 scaffold_1 411705 414415 + 169 6 8 21 S1b
_chr12_000481.1 chrX 15155572 15159047 + _scaffold_1_002271.1 chrY 150536814 150540560 - NA 0 0 0 0 Silene_vulgaris_scaffold_1_003571.1 scaffold_1 158622 162074 - 170 6 1 21 S1b
_chr12_004702.1 chrX 15159146 15160813 - _scaffold_1_001854.1 chrY 150534945 150536672 + Chr05-anno1.g6170.t1 Chr05 56256 57333 + Silene_vulgaris_scaffold_1_000005.1 scaffold_1 155958 157641 + 171 6 5 21 S1b
_chr12_004701.1 chrX 15161962 15165922 - _scaffold_1_001853.1 chrY 150477254 150491812 + Chr05-anno1.g6169.t1 Chr05 51539 54296 + Silene_vulgaris_scaffold_1_000004.1 scaffold_1 139696 143044 + 172 6 5 21 S1b
_chr12_000482.1 chrX 15189710 15197198 + _scaffold_13_000350.1 chrY 184525836 184533667 + Chr05-long_reads1.PB.2202.1 Chr05 35806 42365 - Silene_vulgaris_scaffold_1_003572.1 scaffold_1 103934 111200 - 173 3 5 21 S1b
_chr12_000483.1 chrX 15198016 15203891 + _scaffold_13_000351.1 chrY 184569047 184575366 + Sconica_v3_23797-RA Chr05 30802 34618 - Silene_vulgaris_scaffold_1_003573.1 scaffold_1 99121 103075 - 174 3 5 21 S1b
_chr12_004699.1 chrX 15204441 15209488 - _scaffold_13_000093.1 chrY 184576585 184585180 - Sconica_v3_23796-RA Chr05 25177 30117 + Silene_vulgaris_scaffold_1_000002.1 scaffold_1 95010 98736 + 175 3 5 21 S1b
_chr12_000487.1 chrX 15563399 15569257 + _scaffold_1_002552.1 chrY 101353403 101355002 - Chr05-anno1.g6893.t1 Chr05 6395475 6400061 - FUN_001149-T1 scaffold_1 12341383 12345353 + 176 1 5 14 S1b
_chr12_000494.1 chrX 15830480 15837728 + _scaffold_1_003062.1 chrY 55290226 55297011 - Sconica_v3_24662-RA Chr05 6218889 6223844 - Silene_vulgaris_scaffold_1_000531.1 scaffold_1 12681454 12686618 + 177 2 5 14 S1c
_chr12_004684.1 chrX 16511892 16518671 - _scaffold_1_003065.1 chrY 53766000 53779269 - Sconica_v3_24640-RA Chr05 6011846 6018150 + FUN_001201-T1 scaffold_1 12903335 12909534 - 178 2 5 14 S1c
_chr12_004674.1 chrX 17325470 17328419 - _scaffold_1_000169.1 chrY 391410743 391413352 - Sconica_v3_24617-RA Chr05 5852737 5861962 + Silene_vulgaris_scaffold_1_003069.1 scaffold_1 13143393 13146064 - 179 1 5 14 S1c
_chr12_004662.1 chrX 17889480 17894634 - _scaffold_12_000238.1 chrY 279449264 279454469 + Sconica_v3_24606-RA Chr05 5724729 5730202 + Silene_vulgaris_scaffold_1_003056.1 scaffold_1 13353088 13358301 - 180 1 5 14 S1c
_chr12_000524.1 chrX 18390810 18394635 + _scaffold_13_000222.1 chrY 221790496 221793551 - Sconica_v3_24553-RA Chr05 5334236 5337816 + FUN_001254-T1 scaffold_1 13484566 13487344 + 181 1 5 14 S1c
_chr12_000525.1 chrX 18472323 18477464 + _scaffold_1_003382.1 chrY 5760749 5769915 - Chr05-anno1.g6791.t1 Chr05 5378136 5382745 + Silene_vulgaris_scaffold_1_000558.1 scaffold_1 13519930 13524989 + 182 1 5 14 S1c
_chr12_000526.1 chrX 18529170 18531200 + _scaffold_1_001678.1 chrY 109074258 109076890 - Chr05-anno1.g6795.t1 Chr05 5406387 5407912 + Silene_vulgaris_scaffold_1_000560.1 scaffold_1 13593099 13594974 + 183 1 5 14 S1c
_chr12_004639.1 chrX 19028096 19045938 - _scaffold_1_003681.1 chrY 329565774 329575558 + Sconica_v3_24580-RA Chr05 5535167 5543875 - Silene_vulgaris_scaffold_1_003041.1 scaffold_1 13673503 13682589 - 184 1 5 14 S1c
_chr12_000541.1 chrX 19119389 19121255 + _scaffold_41_000017.1 chrY 228445506 228447265 + Chr05-anno1.g6810.t1 Chr05 5563927 5565214 + Silene_vulgaris_scaffold_1_000566.1 scaffold_1 13699777 13701460 + 185 1 5 14 S1c
_chr12_000547.1 chrX 19922916 19927477 + _scaffold_1_002871.1 chrY 445523568 445528678 - NA 0 0 0 0 FUN_001307-T1 scaffold_1 14136695 14140193 + 186 2 1 14 S1c
_chr12_004618.1 chrX 20371621 20375256 - _scaffold_1_002872.1 chrY 445405444 445414571 - Chr05-anno2.g67056.t1 Chr05 5006293 5009268 + Silene_vulgaris_scaffold_1_003019.1 scaffold_1 14378738 14382705 - 187 2 3 14 S1c
_chr12_004614.1 chrX 20765400 20771561 - _scaffold_1_003946.1 chrY 388000138 388008997 + Sconica_v3_24497-RA Chr05 4947721 4954745 + Silene_vulgaris_scaffold_1_003015.1 scaffold_1 14445544 14451811 - 188 1 3 14 S1c
_chr12_004609.1 chrX 20868952 20871632 - _scaffold_1_003469.1 chrY 296282584 296285317 + Chr05-anno1.g6729.t1 Chr05 4926506 4928447 + Silene_vulgaris_scaffold_1_003012.1 scaffold_1 14484271 14486848 - 189 1 3 14 S1c
_chr12_000572.1 chrX 21967218 21968615 + _scaffold_1_003463.1 chrY 295607593 295609198 + NA 0 0 0 0 Silene_vulgaris_scaffold_2_003479.1 scaffold_2 13909673 13911591 - 190 1 1 1 S1c
_chr12_000577.1 chrX 22722915 22729956 + _scaffold_1_002193.1 chrY 164701719 164720840 - Sconica_v3_24465-RA Chr05 4662080 4668821 - Silene_vulgaris_scaffold_1_000592.1 scaffold_1 14912400 14917921 + 191 1 9 27 S1c
_chr12_004600.1 chrX 22748638 22753086 - _scaffold_1_002100.1 chrY 179038524 179041956 - Sconica_v3_24459-RA Chr05 4635654 4639829 + Silene_vulgaris_scaffold_1_003000.1 scaffold_1 14926557 14930638 - 192 1 9 27 S1c
_chr12_000580.1 chrX 22872189 22878452 + _scaffold_1_000078.1 chrY 408088676 408095345 - Chr05-anno1.g6701.t1 Chr05 4621785 4626809 - FUN_001372-T1 scaffold_1 14935027 14940436 + 193 2 9 27 S1c
_chr12_004598.1 chrX 22878250 22883724 - _scaffold_1_004095.1 chrY 408075185 408087826 + Chr05-anno2.g67006.t1 Chr05 4615425 4620867 + Silene_vulgaris_scaffold_1_002999.1 scaffold_1 14940993 14946711 - 194 2 9 27 S1c
_chr12_000586.1 chrX 23621436 23628522 + _scaffold_1_003502.1 chrY 301509666 301513079 + Chr05-long_reads1.PB.2285.2 Chr05 4545794 4553024 - FUN_001383-T1 scaffold_1 15113052 15119501 + 195 2 9 27 S1c
_chr12_004593.1 chrX 23633769 23645894 - _scaffold_1_000719.1 chrY 301728848 301747037 - Chr05-anno1.g6689.t1 Chr05 4526617 4538031 + Silene_vulgaris_scaffold_1_002996.1 scaffold_1 15160632 15169627 - 196 2 9 27 S1c
_chr12_004592.1 chrX 23647701 23653639 - _scaffold_1_003497.1 chrY 300198332 300208188 + Sconica_v3_24438-RA Chr05 4517510 4524917 + FUN_001389-T1 scaffold_1 15173148 15178191 - 197 1 9 27 S1c
_chr12_000595.1 chrX 24377344 24380403 + _scaffold_1_002380.1 chrY 131689320 131693074 - Sconica_v3_24425-RA Chr05 4409457 4411996 - Silene_vulgaris_scaffold_1_000607.1 scaffold_1 15377963 15381015 + 198 1 9 27 S1c
_chr12_000598.1 chrX 24391147 24394865 + _scaffold_1_003929.1 chrY 384667853 384672413 + Chr05-anno1.g6673.t1 Chr05 4391376 4393112 - Silene_vulgaris_scaffold_1_000612.1 scaffold_1 15439006 15441975 + 199 1 9 27 S1c
_chr12_004577.1 chrX 26139200 26187529 - _scaffold_1_001292.1 chrY 446638677 446712503 + NA 0 0 0 0 Silene_vulgaris_scaffold_1_002984.1 scaffold_1 15600210 15649180 - 200 1 1 27 S2
_chr12_004576.1 chrX 26795822 26803277 - _scaffold_1_002075.1 chrY 180147986 180171709 - Sconica_v3_24409-RA Chr05 4199310 4206846 + Silene_vulgaris_scaffold_1_002983.1 scaffold_1 15674991 15683928 - 201 1 16 27 S2
_chr12_000624.1 chrX 27675217 27679100 + _scaffold_13_000260.1 chrY 213006105 213010339 - Chr05-anno1.g6656.t1 Chr05 4140215 4143791 - Silene_vulgaris_scaffold_1_002981.1 scaffold_1 15735623 15739495 - 202 1 16 27 S2
_chr12_004047.1 chrX 36564479 36567864 + _scaffold_1_004000.1 chrY 392386456 392404727 + Chr05-anno1.g6601.t2 Chr05 3621573 3627104 - FUN_001531-T1 scaffold_1 17288193 17293370 + 203 1 16 27 S2
_chr12_004053.1 chrX 36776284 36780694 + _scaffold_1_003873.1 chrY 371719840 371724890 + Chr05-long_reads1.PB.2275.1 Chr05 3582305 3585013 - Silene_vulgaris_scaffold_1_000654.1 scaffold_1 17333014 17337412 + 204 1 16 27 S2
_chr12_001154.1 chrX 37040248 37046610 - _scaffold_13_000266.1 chrY 211886278 211893083 - FUN_023363-T1 Chr05 3515128 3522351 - Silene_vulgaris_scaffold_1_000662.1 scaffold_1 17438081 17443815 + 205 1 16 27 S2
_chr12_004058.1 chrX 37678876 37686358 + _scaffold_1_003310.1 chrY 13839274 13846213 - Chr05-anno1.g6584.t1 Chr05 3469804 3475585 - Silene_vulgaris_scaffold_1_000664.1 scaffold_1 17464503 17472516 + 206 1 16 27 S2
_chr12_001148.1 chrX 38350466 38353187 - _scaffold_12_000072.1 chrY 250379413 250382866 + Sconica_v3_24317-RA Chr05 3435944 3438274 + Silene_vulgaris_scaffold_1_002926.1 scaffold_1 17511970 17514509 - 207 1 16 27 S2
_chr12_004059.1 chrX 38582009 38587894 + _scaffold_1_002537.1 chrY 104220040 104227018 - Sconica_v3_24315-RA Chr05 3413524 3419671 - FUN_001560-T1 scaffold_1 17574559 17581396 + 208 1 16 27 S2
_chr12_001143.1 chrX 38591081 38595079 - _scaffold_1_001611.1 chrY 105359188 105364480 + Chr05-anno1.g6577.t1 Chr05 3405597 3408444 + Silene_vulgaris_scaffold_1_002925.1 scaffold_1 17584609 17588199 - 209 1 16 27 S2
_chr12_004062.1 chrX 39129198 39134188 + _scaffold_1_000305.1 chrY 369734804 369737993 - Chr05-anno1.g6571.t1 Chr05 3348646 3353303 - Silene_vulgaris_scaffold_1_000670.1 scaffold_1 17846996 17852289 + 210 1 16 27 S2
_chr12_004072.1 chrX 40771304 40773302 + _scaffold_1_000528.1 chrY 325953620 325955579 - Sconica_v3_24285-RA Chr05 3288101 3289767 - FUN_001602-T1 scaffold_1 18110414 18111753 + 211 1 16 27 S2
_chr12_004083.1 chrX 43037848 43040846 + _scaffold_1_002446.1 chrY 106769859 106772260 + Sconica_v3_24278-RA Chr05 3228257 3232064 - Silene_vulgaris_scaffold_1_000682.1 scaffold_1 18277892 18281747 + 212 5 16 27 S2
_chr12_004084.1 chrX 43047098 43049415 + _scaffold_1_002447.1 chrY 106957662 106959926 + Sconica_v3_24277-RA Chr05 3223648 3225751 - Silene_vulgaris_scaffold_1_000683.1 scaffold_1 18282685 18285006 + 213 5 16 27 S2
_chr12_001126.1 chrX 43085051 43088958 - _scaffold_1_001685.1 chrY 107188317 107192305 - Sconica_v3_24276-RA Chr05 3218095 3221779 + Silene_vulgaris_scaffold_1_002906.1 scaffold_1 18317341 18321656 - 214 5 16 27 S2
_chr12_001125.1 chrX 43167304 43169041 - _scaffold_1_001680.1 chrY 107374691 107376584 - Chr05-anno1.g6552.t1 Chr05 3208262 3209536 + Silene_vulgaris_scaffold_1_002905.1 scaffold_1 18362743 18364464 - 215 5 16 27 S2
_chr12_004085.1 chrX 44023839 44032787 + _scaffold_1_002448.1 chrY 107764785 107767905 + Chr05-long_reads1.PB.2269.1 Chr05 3198965 3203071 - Silene_vulgaris_scaffold_1_000684.1 scaffold_1 18367791 18377206 + 216 5 16 27 S2
_chr12_001121.1 chrX 44269221 44274791 - _scaffold_12_000255.1 chrY 281823418 281827528 + FUN_023317-T1 scaffold_4 62309858 62310650 - Silene_vulgaris_scaffold_1_002901.1 scaffold_1 18407253 18412358 - 217 1 1 27 S2
_chr12_004094.1 chrX 45637065 45638130 + _scaffold_1_003763.1 chrY 348148247 348149297 + Sconica_v3_31016-RA Chr06 6603913 6604224 - NA 0 0 0 0 218 1 1 1 S2
_chr12_001109.1 chrX 47442303 47455353 - _scaffold_1_001184.1 chrY 428149823 428165242 + Sconica_v3_24250-RA Chr05 2993605 3005623 + FUN_001660-T1 scaffold_1 18918502 18931840 - 219 1 2 1 S2
_chr12_001103.1 chrX 48638816 48639667 - _scaffold_1_001204.1 chrY 429534078 429535050 + Chr05-anno1.g6523.t1 Chr05 2915284 2920618 - FUN_001671-T1 scaffold_1 19004971 19005926 + 220 2 2 2 S2
_chr12_001102.1 chrX 48640381 48644222 - _scaffold_1_001203.1 chrY 429530416 429533424 + NA 0 0 0 0 Silene_vulgaris_scaffold_1_000711.1 scaffold_1 19001130 19004425 + 221 2 1 2 S2
