"chr","window","fst","mid","start","snp","scaff","seq.len","chr.type"
"351",12,8,0.61994384038075,38242136.5,35742136.5,214,31,3749,"X-chr."
"352",12,9,0.505011519664489,43242136.5,40742136.5,132,16,1947,"X-chr."
"353",12,10,0.50278435053489,48242136.5,45742136.5,220,34,4297,"X-chr."
"354",12,11,0.566270311032105,53242136.5,50742136.5,98,17,2077,"X-chr."
"355",12,12,0.458726823311116,58242136.5,55742136.5,135,21,2540,"X-chr."
"356",12,13,0.517351489254168,63242136.5,60742136.5,214,35,4421,"X-chr."
"357",12,14,0.490402943396179,68242136.5,65742136.5,316,38,4718,"X-chr."
"358",12,15,0.572027045913728,73242136.5,70742136.5,143,21,2627,"X-chr."
"359",12,16,0.457382266278737,78242136.5,75742136.5,131,22,2692,"X-chr."
"360",12,17,0.55806256689812,83242136.5,80742136.5,287,43,5248,"X-chr."
"361",12,18,0.551172321797326,88242136.5,85742136.5,144,16,2073,"X-chr."
"362",12,19,0.507984295500908,93242136.5,90742136.5,233,32,3893,"X-chr."
"363",12,20,0.554504703001676,98242136.5,95742136.5,151,19,2335,"X-chr."
"364",12,21,0.671108857661549,103242136.5,100742136.5,159,23,2927,"X-chr."
"365",12,22,0.544809750079462,108242136.5,105742136.5,238,38,4937,"X-chr."
"366",12,23,0.437049563922089,113242136.5,110742136.5,125,18,2170,"X-chr."
"367",12,24,0.646304981749025,118242136.5,115742136.5,184,27,3262,"X-chr."
"368",12,25,0.574545020133992,123242136.5,120742136.5,120,21,2571,"X-chr."
"369",12,26,0.569351471350902,128242136.5,125742136.5,228,31,3805,"X-chr."
"370",12,27,0.599695797463017,133242136.5,130742136.5,282,43,5373,"X-chr."
"371",12,28,0.531785681799367,138242136.5,135742136.5,262,40,4994,"X-chr."
"372",12,29,0.552885501650114,143242136.5,140742136.5,94,14,1830,"X-chr."
"373",12,30,0.487153696162681,148242136.5,145742136.5,288,35,4293,"X-chr."
"374",12,31,0.455701826228925,153242136.5,150742136.5,157,19,2336,"X-chr."
"375",12,32,0.535192662950494,158242136.5,155742136.5,312,38,4871,"X-chr."
"377",12,34,0.619490842785337,168242136.5,165742136.5,29,6,725,"X-chr."
"378",12,35,0.474286116584925,173242136.5,170742136.5,145,22,2699,"X-chr."
"379",12,36,0.572973797825567,178242136.5,175742136.5,236,24,3003,"X-chr."
"380",12,37,0.657939103167312,183242136.5,180742136.5,215,31,3811,"X-chr."
"381",12,38,0.61340885985584,188242136.5,185742136.5,254,34,4114,"X-chr."
"382",12,39,0.432198320991637,193242136.5,190742136.5,248,37,4528,"X-chr."
"383",12,40,0.530233704385116,198242136.5,195742136.5,49,6,734,"X-chr."
"385",12,42,0.609964336323826,208242136.5,205742136.5,124,18,2188,"X-chr."
"386",12,43,0.551698819519233,213242136.5,210742136.5,181,24,2994,"X-chr."
"387",12,44,0.485362524535416,218242136.5,215742136.5,204,28,3432,"X-chr."
"388",12,45,0.587210805081896,223242136.5,220742136.5,189,28,3398,"X-chr."
"389",12,46,0.467638009049774,228242136.5,225742136.5,26,5,623,"X-chr."
"390",12,47,0.669529402376768,233242136.5,230742136.5,113,20,2475,"X-chr."
"391",12,48,0.437015995985067,238242136.5,235742136.5,188,24,2977,"X-chr."
"392",12,49,0.515490590232343,243242136.5,240742136.5,200,29,3514,"X-chr."
"393",12,50,0.591400497133661,248242136.5,245742136.5,251,38,4752,"X-chr."
"394",12,51,0.640088480891375,253242136.5,250742136.5,88,16,1938,"X-chr."
"395",12,52,0.608028655714756,258242136.5,255742136.5,204,30,3654,"X-chr."
"396",12,53,0.542710625432911,263242136.5,260742136.5,229,38,4781,"X-chr."
"397",12,54,0.541658013270305,268242136.5,265742136.5,278,33,4188,"X-chr."
"398",12,55,0.476537542533936,273242136.5,270742136.5,354,45,5689,"X-chr."
"399",12,56,0.439399071043674,278242136.5,275742136.5,465,44,5342,"X-chr."
"400",12,57,0.539421534716675,283242136.5,280742136.5,192,30,3791,"X-chr."
"401",12,58,0.47968943983315,288242136.5,285742136.5,284,38,4941,"X-chr."
"402",12,59,0.455045644822669,293242136.5,290742136.5,252,27,3302,"X-chr."
"403",12,60,0.398028133644257,298242136.5,295742136.5,356,32,3897,"X-chr."
"404",12,61,0.376310299589438,303242136.5,300742136.5,244,31,3837,"X-chr."
"405",12,62,0.323190962384695,308242136.5,305742136.5,295,36,4397,"X-chr."
"406",12,63,0.510116077393852,313242136.5,310742136.5,294,40,5040,"X-chr."
"407",12,64,0.322834504873064,318242136.5,315742136.5,246,37,4680,"X-chr."
"408",12,65,0.219870411602049,323242136.5,320742136.5,253,31,3976,"X-chr."
"409",12,66,0.21323834215914,328242136.5,325742136.5,369,47,6482,"X-chr."
"410",12,67,0.171871909082996,333242136.5,330742136.5,331,37,4616,"X-chr."
"411",12,68,0.150122705325917,338242136.5,335742136.5,222,31,3846,"X-chr."
"412",12,69,0.164602176267298,343242136.5,340742136.5,212,22,2654,"X-chr."
