"chr","window","fst","mid","start","snp","scaff","seq.len","sites","chr.type"
"314",11,12,0.0048253863108006,59808237.5,57308237.5,NA,113,14184,13134,"Autosomes"
"315",11,13,0.00629534540611846,64808237.5,62308237.5,NA,124,15285,14239,"Autosomes"
"316",11,14,0.00610926240751972,69808237.5,67308237.5,NA,133,16877,15571,"Autosomes"
"317",11,15,0.00670915764583223,74808237.5,72308237.5,NA,133,16621,15544,"Autosomes"
"318",11,16,0.0057853932039453,79808237.5,77308237.5,NA,156,19391,18230,"Autosomes"
"319",11,17,0.00997709790022142,84808237.5,82308237.5,NA,91,11281,10374,"Autosomes"
"320",11,18,0.00637546426370562,89808237.5,87308237.5,NA,124,15697,14786,"Autosomes"
"321",11,19,0.00692196922627588,94808237.5,92308237.5,NA,181,22843,21570,"Autosomes"
"322",11,20,0.010262804914448,99808237.5,97308237.5,NA,112,14004,13167,"Autosomes"
"323",11,21,0.00906210646929911,104808237.5,102308237.5,NA,171,21226,19836,"Autosomes"
"324",11,22,0.0078815104662841,109808237.5,107308237.5,NA,178,22512,20932,"Autosomes"
"325",11,23,0.00512720871645963,114808237.5,112308237.5,NA,126,15887,15172,"Autosomes"
"326",11,24,0.00588682762342018,119808237.5,117308237.5,NA,196,25020,23960,"Autosomes"
"327",11,25,0.00680911680704902,124808237.5,122308237.5,NA,87,10981,10315,"Autosomes"
"328",11,26,0.00521883538542231,129808237.5,127308237.5,NA,223,28866,27464,"Autosomes"
"329",11,27,0.00616236391940886,134808237.5,132308237.5,NA,181,22275,21077,"Autosomes"
"330",11,28,0.0065482048648509,139808237.5,137308237.5,NA,189,23951,22831,"Autosomes"
"331",11,29,0.00737130230763358,144808237.5,142308237.5,NA,188,23690,22086,"Autosomes"
"332",11,30,0.00487120151887589,149808237.5,147308237.5,NA,107,13412,12682,"Autosomes"
"333",11,31,0.00690291724674771,154808237.5,152308237.5,NA,149,18664,17916,"Autosomes"
"334",11,32,0.0106767610223603,159808237.5,157308237.5,NA,61,7637,6970,"Autosomes"
"335",11,33,0.0107487834788878,164808237.5,162308237.5,NA,75,9380,8670,"Autosomes"
"336",11,34,0.0103336593271593,169808237.5,167308237.5,NA,47,5765,5162,"Autosomes"
"337",11,35,0.0086712918142052,174808237.5,172308237.5,NA,33,4241,3845,"Autosomes"
"338",11,36,0.00974959972367193,179808237.5,177308237.5,NA,49,6053,5482,"Autosomes"
"339",11,37,0.00800789728786623,184808237.5,182308237.5,NA,50,6261,5701,"Autosomes"
"340",11,38,0.0085663068292859,189808237.5,187308237.5,NA,39,4791,4370,"Autosomes"
"341",11,39,0.0139099929336396,194808237.5,192308237.5,NA,47,5886,5188,"Autosomes"
"342",11,40,0.0102598772406189,199808237.5,197308237.5,NA,42,5242,4650,"Autosomes"
"343",11,41,0.0105467386404412,204808237.5,202308237.5,NA,35,4399,4003,"Autosomes"
"344",12,1,0.0102844113753951,3242136.5,742136.5,NA,50,6348,5820,"X-chr."
"345",12,2,0.0086712426980703,8242136.5,5742136.5,NA,52,6481,5969,"X-chr."
"346",12,3,0.0102473856367721,13242136.5,10742136.5,NA,74,9248,8610,"X-chr."
"347",12,4,0.00919719635518346,18242136.5,15742136.5,NA,93,11814,10832,"X-chr."
"348",12,5,0.00743341642392519,23242136.5,20742136.5,NA,102,12520,11649,"X-chr."
"349",12,6,0.00524860731854693,28242136.5,25742136.5,NA,69,8686,8126,"X-chr."
"350",12,7,0.00613669583351455,33242136.5,30742136.5,NA,99,12376,11587,"X-chr."
"351",12,8,0.00774180447225815,38242136.5,35742136.5,NA,101,12289,11657,"X-chr."
"352",12,9,0.00484486270355637,43242136.5,40742136.5,NA,130,16120,15245,"X-chr."
"353",12,10,0.00471613492023114,48242136.5,45742136.5,NA,156,19720,18616,"X-chr."
"354",12,11,0.00502758973219934,53242136.5,50742136.5,NA,183,23264,22276,"X-chr."
"355",12,12,0.00572568846405619,58242136.5,55742136.5,NA,186,22988,22046,"X-chr."
"356",12,13,0.00594235414766852,63242136.5,60742136.5,NA,186,23622,22306,"X-chr."
"357",12,14,0.00507728485522184,68242136.5,65742136.5,NA,150,19036,17722,"X-chr."
"358",12,15,0.00480760214572162,73242136.5,70742136.5,NA,107,13161,12486,"X-chr."
"359",12,16,0.00340714027891389,78242136.5,75742136.5,NA,175,22464,21295,"X-chr."
"360",12,17,0.00529549290170528,83242136.5,80742136.5,NA,201,25446,23906,"X-chr."
"361",12,18,0.00390406067315219,88242136.5,85742136.5,NA,135,17021,16211,"X-chr."
"362",12,19,0.00473488387131267,93242136.5,90742136.5,NA,184,23219,21962,"X-chr."
"363",12,20,0.00466150425871401,98242136.5,95742136.5,NA,184,22574,21665,"X-chr."
"364",12,21,0.00420503189297201,103242136.5,100742136.5,NA,182,22833,21760,"X-chr."
"365",12,22,0.00412277519714911,108242136.5,105742136.5,NA,181,22931,21905,"X-chr."
"366",12,23,0.0043006082087543,113242136.5,110742136.5,NA,166,21170,20264,"X-chr."
"367",12,24,0.00438236491792605,118242136.5,115742136.5,NA,160,20552,19439,"X-chr."
"368",12,25,0.00264018746111877,123242136.5,120742136.5,NA,179,22085,21244,"X-chr."
"369",12,26,0.00459379561765135,128242136.5,125742136.5,NA,170,21153,20001,"X-chr."
"370",12,27,0.00355137948516931,133242136.5,130742136.5,NA,176,22149,21065,"X-chr."
"371",12,28,0.00474401711779251,138242136.5,135742136.5,NA,152,19225,18247,"X-chr."
"372",12,29,0.00275348481086898,143242136.5,140742136.5,NA,136,16957,16437,"X-chr."
"373",12,30,0.00404517798672514,148242136.5,145742136.5,NA,202,25183,23971,"X-chr."
"374",12,31,0.00441629605809847,153242136.5,150742136.5,NA,170,21611,20650,"X-chr."
"375",12,32,0.00411210250723885,158242136.5,155742136.5,NA,231,29197,27691,"X-chr."
"376",12,33,0.0085851502780158,163242136.5,160742136.5,NA,6,729,684,"X-chr."
"377",12,34,0.00241078734518911,168242136.5,165742136.5,NA,53,6593,6316,"X-chr."
"378",12,35,0.00354954473733892,173242136.5,170742136.5,NA,183,23208,22115,"X-chr."
"379",12,36,0.00367764393452644,178242136.5,175742136.5,NA,198,24720,23574,"X-chr."
"380",12,37,0.00237259122813388,183242136.5,180742136.5,NA,221,27779,26648,"X-chr."
"381",12,38,0.00475564780758006,188242136.5,185742136.5,NA,191,24353,22919,"X-chr."
"382",12,39,0.00441367980956754,193242136.5,190742136.5,NA,199,24723,23291,"X-chr."
"383",12,40,0.00297723711259692,198242136.5,195742136.5,NA,96,12196,11732,"X-chr."
"385",12,42,0.00254618297407362,208242136.5,205742136.5,NA,180,22481,21746,"X-chr."
"386",12,43,0.00419241610163108,213242136.5,210742136.5,NA,187,23543,22558,"X-chr."
"387",12,44,0.00433505396731248,218242136.5,215742136.5,NA,183,23009,21632,"X-chr."
"388",12,45,0.0039099205288932,223242136.5,220742136.5,NA,149,18812,17899,"X-chr."
"389",12,46,0.00302987307732337,228242136.5,225742136.5,NA,119,15156,14487,"X-chr."
"390",12,47,0.00260138854577584,233242136.5,230742136.5,NA,179,22668,21886,"X-chr."
"391",12,48,0.00361680858718847,238242136.5,235742136.5,NA,188,23839,22878,"X-chr."
"392",12,49,0.00349829515340475,243242136.5,240742136.5,NA,228,28532,26983,"X-chr."
"393",12,50,0.0038610445107543,248242136.5,245742136.5,NA,172,21787,20867,"X-chr."
"394",12,51,0.00241904635459581,253242136.5,250742136.5,NA,179,22246,21483,"X-chr."
"395",12,52,0.00329240269110977,258242136.5,255742136.5,NA,158,19778,18968,"X-chr."
"396",12,53,0.00503876741102948,263242136.5,260742136.5,NA,130,16230,15292,"X-chr."
"397",12,54,0.00732913485789085,268242136.5,265742136.5,NA,119,14631,13828,"X-chr."
"398",12,55,0.00631572513913172,273242136.5,270742136.5,NA,142,17827,16460,"X-chr."
"399",12,56,0.0104213395289141,278242136.5,275742136.5,NA,108,13373,12121,"X-chr."
"400",12,57,0.00741369711929667,283242136.5,280742136.5,NA,150,18997,17703,"X-chr."
"401",12,58,0.00556585719624721,288242136.5,285742136.5,NA,143,17887,16742,"X-chr."
"402",12,59,0.00902080577752198,293242136.5,290742136.5,NA,125,15387,14391,"X-chr."
"403",12,60,0.0108550993259422,298242136.5,295742136.5,NA,126,15637,14482,"X-chr."
"404",12,61,0.00961969205739516,303242136.5,300742136.5,NA,76,9430,8633,"X-chr."
"405",12,62,0.0109761100760627,308242136.5,305742136.5,NA,69,8459,7606,"X-chr."
"406",12,63,0.00861724575036725,313242136.5,310742136.5,NA,62,7702,7069,"X-chr."
"407",12,64,0.00844932116131127,318242136.5,315742136.5,NA,52,6523,5799,"X-chr."
"408",12,65,0.0133346371091704,323242136.5,320742136.5,NA,29,3634,3137,"X-chr."
"409",12,66,0.00812654820750059,328242136.5,325742136.5,NA,92,13236,12524,"X-chr."
"410",12,67,0.0113271680289702,333242136.5,330742136.5,NA,41,5282,4863,"X-chr."
"411",12,68,0.0132040262980465,338242136.5,335742136.5,NA,29,3534,3192,"X-chr."
"412",12,69,0.0128952698331926,343242136.5,340742136.5,NA,26,3159,2934,"X-chr."
